RTD temps,REF_temp,Time
"[31.5319, 31.4861, 31.6163, 31.5329, 31.4987, 31.519, 31.5608]",30.685,1213.039213180542
"[31.533, 31.4898, 31.6189, 31.5352, 31.4989, 31.5211, 31.5614]",30.687,1217.9833624362946
"[31.5349, 31.492, 31.6209, 31.5386, 31.4998, 31.5239, 31.5643]",30.693,1222.9405145645142
"[31.538, 31.4934, 31.6233, 31.5389, 31.5035, 31.5265, 31.5657]",30.694,1227.8996646404266
"[31.5402, 31.4958, 31.6252, 31.5411, 31.5055, 31.5295, 31.5693]",30.695,1232.8868155479431
"[31.5412, 31.4974, 31.6269, 31.5446, 31.5077, 31.5318, 31.5698]",30.696,1237.8499701023102
"[31.5443, 31.5, 31.6309, 31.5461, 31.5099, 31.5342, 31.5733]",30.703,1242.8306217193604
"[31.5465, 31.5034, 31.6315, 31.5472, 31.5114, 31.535, 31.574]",30.704,1247.8147721290588
"[31.5475, 31.5049, 31.6329, 31.5495, 31.5145, 31.5378, 31.5777]",30.705,1252.7629225254059
"[31.5521, 31.5076, 31.6372, 31.5534, 31.5167, 31.5408, 31.5799]",30.706,1257.733074426651
"[31.5538, 31.5091, 31.6381, 31.5548, 31.5185, 31.5426, 31.5821]",30.706,1262.703224182129
"[31.5554, 31.5124, 31.6416, 31.5575, 31.5221, 31.5445, 31.5846]",30.714,1267.6513781547546
"[31.5589, 31.514, 31.644, 31.5594, 31.5238, 31.5478, 31.5862]",30.714,1272.5925288200378
"[31.5595, 31.5165, 31.6449, 31.563, 31.5262, 31.5503, 31.5892]",30.715,1277.599680185318
"[31.5623, 31.5187, 31.6484, 31.5649, 31.5278, 31.5514, 31.5916]",30.718,1282.5928316116333
